iter	Accuracy	Logloss
429	0.8786310581	0.2748619274
430	0.8787821554	0.2747122798
431	0.8789710271	0.274553704
432	0.8792354474	0.2742610661
433	0.8796509651	0.273984287
434	0.8797265138	0.2737922936
435	0.8797642881	0.2736577127
436	0.8800664828	0.2735088183
437	0.8802931288	0.273365829
438	0.8808597439	0.2731024479
439	0.8808219696	0.2729681528
440	0.8809352926	0.2727321258
441	0.8809730669	0.2725970528
442	0.8809352926	0.2724722555
443	0.8811997129	0.2723595596
444	0.8812752616	0.272108937
445	0.8815019076	0.2719152604
446	0.8815019076	0.271749124
447	0.8816152306	0.2715669108
448	0.8816530049	0.2714709905
449	0.8821818457	0.2712672556
450	0.8823707173	0.271140394
451	0.8823707173	0.2710356319
452	0.882332943	0.2709296484
453	0.882672912	0.2707807806
454	0.882559589	0.2706535543
455	0.8832017527	0.2704551262
456	0.8835417218	0.270254834
457	0.8838061421	0.2701009087
458	0.8839572395	0.2699206972
459	0.8840705625	0.2697366421
460	0.8841083368	0.2696502245
461	0.8844105315	0.2694591204
462	0.8842594341	0.2693709897
463	0.8845994032	0.2692276466
464	0.8847882748	0.269036397
465	0.8850149209	0.2688181473
466	0.8849771465	0.2685787205
467	0.8850149209	0.2684672988
468	0.8850526952	0.2683710277
469	0.8854682129	0.2682337819
470	0.8854682129	0.2680884697
471	0.8857326332	0.2679507456
472	0.8861481509	0.2676733123
473	0.88648812	0.2675377183
474	0.886601443	0.2673832775
475	0.8865636686	0.267214084
476	0.886601443	0.2670578789
477	0.886828089	0.2668020523
478	0.8868658633	0.2666140731
479	0.8868658633	0.2664903303
480	0.886941412	0.2663853954
481	0.8869036377	0.266281776
482	0.886828089	0.2661486401
483	0.8869791863	0.2660011294
484	0.887054735	0.2659318991
485	0.8870169607	0.2657678226
486	0.887054735	0.2656626865
487	0.8871302837	0.265535597
488	0.8873569297	0.2653563154
489	0.8875835757	0.2652670322
490	0.887508027	0.2651799647
491	0.8875835757	0.2649320094
492	0.8877724474	0.2647689181
493	0.8877724474	0.2646571646
494	0.8884523854	0.2644869003
495	0.8886034828	0.2643940694
496	0.8887545801	0.2643041652
497	0.8887168058	0.2641989933
498	0.8889434518	0.2639904613
499	0.8889056775	0.2637747448
500	0.8889812262	0.2635619911
501	0.8891323235	0.2634519258
502	0.8893211952	0.2633068276
503	0.8892078722	0.2630963552
504	0.8891700978	0.2629919443
505	0.8892834208	0.2629119598
506	0.8892078722	0.2626750401
507	0.8894345182	0.262236967
508	0.8896989385	0.262104347
509	0.8896989385	0.2620285238
510	0.8902655536	0.2618798222
511	0.8903033279	0.2617163866
512	0.8904166509	0.2614872801
513	0.8909454916	0.2612187048
514	0.891323235	0.2610399858
515	0.8912854607	0.2608769567
516	0.8914743323	0.2607632155
517	0.8917387527	0.2605318357
518	0.8918143014	0.2603734601
519	0.8919653987	0.26026913
520	0.8922675934	0.2600744307
521	0.8923431421	0.2598965558
522	0.8924186907	0.259768706
523	0.8924942394	0.2596121879
524	0.8922675934	0.2594060737
525	0.8923053677	0.2593519452
526	0.8927586598	0.2591486739
527	0.8929853058	0.2589888574
528	0.8931741775	0.2587927047
529	0.8931364031	0.2586296178
530	0.8932497261	0.2585617325
531	0.8933630491	0.2584669452
532	0.8938541155	0.2583236329
533	0.8939296642	0.2581756237
534	0.8940807615	0.2580198305
535	0.8943829562	0.2578265083
536	0.8951006686	0.2575465198
537	0.8951384429	0.2574251324
538	0.8949873456	0.2572510339
539	0.8948740226	0.2571388167
540	0.8951384429	0.2570828038
541	0.895365089	0.2569243836
542	0.8957806067	0.2566965855
543	0.8957428323	0.2565022535
544	0.8958561553	0.2563678428
545	0.89615835	0.2562038374
546	0.8963094474	0.2560503241
547	0.8963472217	0.2558927203
548	0.8964605447	0.2557235378
549	0.8969516111	0.2555274942
550	0.8971027084	0.2554374221
551	0.8971782571	0.2553052882
552	0.8974426774	0.2552034306
553	0.8977070978	0.2550858212
554	0.8977070978	0.2549138876
555	0.8977826465	0.2548078448
556	0.8981226155	0.2546181205
557	0.8983870358	0.254472552
558	0.8985759075	0.2543037525
559	0.8987270049	0.2542219033
560	0.8989536509	0.254070706
561	0.8989536509	0.253932632
562	0.8990669739	0.253658176
563	0.8991047482	0.2535750896
564	0.8990669739	0.2534647287
565	0.8990291996	0.2533725355
566	0.8991802969	0.2531734064
567	0.8993313943	0.2531206385
568	0.8994069429	0.2530234113
569	0.8994447173	0.2529052187
570	0.8994447173	0.2527647294
571	0.8995958146	0.2526486317
572	0.8996713633	0.2524737938
573	0.8996713633	0.2523287421
574	0.8998980093	0.252126398
575	0.9000113323	0.2519498154
576	0.900086881	0.2518643596
577	0.9006157217	0.2517681318
578	0.9008045934	0.2516446472
579	0.9009179164	0.2513968381
580	0.9011823367	0.2512811188
581	0.9012956597	0.2511509089
582	0.9011445624	0.251048359
583	0.9012956597	0.2509691243
584	0.9013712084	0.2508547058
585	0.9014845314	0.250753843
586	0.9015600801	0.2506215717
587	0.9018622748	0.2503923937
588	0.9020133721	0.2502846002
589	0.9022400181	0.2501402184
590	0.9023155668	0.249995624
591	0.9023911155	0.2498561887
592	0.9023155668	0.24971694
593	0.9023533411	0.2495789758
594	0.9024288898	0.2494696026
595	0.9023155668	0.2494249023
596	0.9026933102	0.2491956194
597	0.9029955049	0.249027574
598	0.9029199562	0.2489216953
599	0.9031466022	0.2488144159
